ResponseId,COMPANION,PAIN1,PAIN2,pet_frequency,human_frequency,Age,Female,PAIN_DROP,include
R_BumoY5EF4ZtRvwJ,0,4,4,,,42,0,0,0
R_2tJO2n72WWDVCmx,0,4,4,,,34,0,0,0
R_25X5H9ztdWMMl0t,0,4,4,,,30,0,0,0
R_VQfApCXHfJRB4aJ,0,5,2,,,66,0,-3,0
R_2dYn4TdJVfs5TIi,0,6,6,,,40,1,0,0
R_30kS7CcWBGlucMo,0,6,6,,,40,1,0,0
R_Aj8AMyUB7lzgjMR,0,6,5,,,36,0,-1,0
R_uk2Kce9lVWPtc1X,0,6,6,,,67,0,0,0
R_1DzBU67xDDfO0tm,1,3,3,,4,36,1,0,0
R_2rG7JAkUIpDviJk,1,6,4,,5,69,1,-2,0
R_2TGe15Rm6fPErUT,1,4,4,,5,32,0,0,0
R_xsfAVfZ0aMDR3cR,1,4,5,,4,46,1,1,0
R_85JtGYjerFHT9zX,1,3,2,,3,28,1,-1,0
R_2v1ytBNpqnJHKhI,2,1,1,5,,31,0,0,0
R_6wZigrbSczQ1fKV,2,6,6,4,,35,1,0,0
R_12mO3oPpnLaChYM,2,3,3,4,,29,1,0,0
R_1CeVXgYD0QPlg5E,2,5,5,5,,35,0,0,0
R_1eIwj7x7M8DSnfi,2,6,6,5,,30,0,0,0
R_dgPzxYQjEEAqXYd,2,5,5,5,,41,0,0,0
R_3rYBfg9YE3Kkv98,2,3,2,1,,35,1,-1,0
R_A65tj0gS8PcDf4l,2,5,4,2,,38,0,-1,0
R_XMRXqGz3Hy6tTJT,2,5,4,5,,39,1,-1,0
R_1HknW7Zut1jntLI,2,4,4,5,,28,0,0,0
R_3nNOIppnmGIMV0x,0,4,4,,,36,1,0,1
R_1PTaM4jieGOx7RL,0,6,6,,,26,1,0,1
R_wS03RtWhftp89up,0,2,1,,,33,0,-1,1
R_b0YuKgWFteuOZ8Z,0,6,3,,,,,-3,1
